subject,accuracy,f1,method
1,0.6303412675652423,0.49908115549834536,Zscore_RF
2,0.6464009176942931,0.5265792467600808,Zscore_RF
3,0.6248924577000287,0.48107675617499557,Zscore_RF
4,0.5635216518497276,0.45687564085055554,Zscore_RF
5,0.6142816174361916,0.47700875875812365,Zscore_RF
6,0.6455405792945225,0.5256489500261567,Zscore_RF
7,0.6443934614281618,0.5316554248406254,Zscore_RF
8,0.6455405792945225,0.5486044788726253,Zscore_RF
9,0.6590192142242616,0.551756958035335,Zscore_RF
10,0.6400917694293089,0.5148874635788115,Zscore_RF
11,0.6286205907657012,0.4885230755257899,Zscore_RF
12,0.6254660166332091,0.48134840588462563,Zscore_RF
13,0.6332090622311443,0.5228136387720426,Zscore_RF
14,0.6899913966160023,0.6060797059807469,Zscore_RF
15,0.6397248495270851,0.5269579155373955,Zscore_RF
16,0.6254660166332091,0.48134840588462563,Zscore_RF
17,0.6243188987668483,0.48080491462235037,Zscore_RF
18,0.6254660166332091,0.48134840588462563,Zscore_RF
19,0.631201605965013,0.5128517662020282,Zscore_RF
20,0.6983080011471179,0.6458186906277283,Zscore_RF
