subject,accuracy,f1,method
1,0.6710639518210496,0.35985011276496187,SRAN_FULL_RF
2,0.6578720963579008,0.344489077561647,SRAN_FULL_RF
3,0.6280470318325208,0.26557307515411965,SRAN_FULL_RF
4,0.5669630054488098,0.26638291865309477,SRAN_FULL_RF
5,0.6383710926297677,0.3124162607777305,SRAN_FULL_RF
6,0.6426727846286205,0.30345493053206024,SRAN_FULL_RF
7,0.6968741038141669,0.41546436824683025,SRAN_FULL_RF
8,0.6664754803556066,0.3629705516254191,SRAN_FULL_RF
9,0.6854029251505592,0.3987913730579528,SRAN_FULL_RF
10,0.6793805563521652,0.38252056522876415,SRAN_FULL_RF
11,0.6868368224835102,0.3946780282421087,SRAN_FULL_RF
12,0.6177229710352738,0.27200270888440004,SRAN_FULL_RF
13,0.6205907657011758,0.2723416749673308,SRAN_FULL_RF
14,0.668769716088328,0.3530305117515558,SRAN_FULL_RF
15,0.6741186586414445,0.3809656945377015,SRAN_FULL_RF
16,0.6329222827645541,0.27504336523691364,SRAN_FULL_RF
17,0.6323487238313736,0.28307694791789206,SRAN_FULL_RF
18,0.643246343561801,0.3263820271464975,SRAN_FULL_RF
19,0.6214511041009464,0.25765412282266215,SRAN_FULL_RF
20,0.6464009176942931,0.3099576606437521,SRAN_FULL_RF
